X,Y
24,24
40,24
56,24
72,24
88,24
104,24
120,24
136,24
152,24
168,24
184,24
200,24
216,24
232,24
248,24
264,24
280,24
296,24
312,24
328,24
344,24
360,24
376,24
392,24
408,24
424,24
440,24
456,24
472,24
488,24
504,24
520,24
536,24
552,24
568,24
584,24
600,24
616,24
632,24
648,24
488,40
488,56
488,72
488,88
488,104
472,104
456,104
440,104
424,104
408,104
392,104
376,104
360,104
344,104
328,104
312,104
296,104
280,104
264,104
264,88
248,88
232,88
216,88
200,88
184,88
184,104
168,104
168,144
152,104
136,104
120,104
104,104
88,104
72,104
56,104
40,104
24,104
24,120
24,136
24,152
24,168
24,184
40,184
56,184
72,184
88,184
104,184
120,184
136,184
152,184
168,184
168,200
168,216
168,232
168,248
168,264
152,264
136,264
136,280
120,280
120,296
104,296
88,296
72,296
56,296
40,296
24,296
24,312
24,328
24,344
24,360
24,376
24,392
24,408
24,424
24,440
24,456
24,472
24,488
24,504
24,520
24,536
24,552
24,568
24,584
24,600
24,616
24,632
40,632
56,632
72,632
72,648
72,664
72,680
72,696
72,712
72,728
72,744
88,744
104,744
120,744
136,744
152,744
168,744
184,744
200,744
216,744
232,744
248,744
264,744
280,744
280,728
280,712
280,696
280,680
280,664
264,664
248,664
232,664
216,664
200,664
200,648
200,632
184,664
168,664
152,664
136,664
120,664
104,664
136,648
136,632
136,616
136,600
136,584
136,568
136,552
136,536
120,536
120,520
120,504
120,488
120,472
120,456
120,440
120,424
104,424
88,424
72,424
56,424
104,408
104,392
104,376
104,360
120,360
120,344
136,424
152,424
168,424
184,424
200,424
280,648
296,648
312,648
328,648
344,648
360,648
376,648
392,648
408,648
424,648
440,648
456,648
472,648
488,648
504,648
520,648
536,648
552,648
568,648
584,648
600,648
616,648
632,648
648,648
648,664
648,680
648,696
648,712
648,728
648,744
664,744
680,744
696,744
712,744
728,744
744,744
760,744
760,728
760,712
776,712
792,712
808,712
824,712
824,696
824,680
840,680
856,680
872,680
888,680
904,680
920,680
920,696
920,712
920,728
920,744
936,744
952,744
968,744
984,744
1000,744
1000,728
1000,712
1000,696
1000,680
1000,664
1000,648
1000,632
1000,616
984,616
968,616
952,616
936,616
920,616
920,632
920,600
920,584
920,568
920,552
920,536
920,520
920,504
920,488
936,488
952,488
952,472
952,456
952,440
952,424
952,408
968,408
984,408
1000,408
1000,392
1000,376
1000,360
1000,344
1000,328
1000,312
1000,296
1000,280
1000,264
1000,248
1000,232
1000,216
1000,200
1000,184
1000,168
1000,152
1000,136
1000,120
1000,104
984,104
984,88
984,72
984,56
984,40
984,24
968,24
952,24
936,24
920,24
920,40
920,56
920,72
920,88
904,88
888,88
872,88
856,88
840,88
824,88
808,88
792,88
792,72
776,72
776,56
760,56
760,40
760,24
744,24
728,24
712,24
696,24
680,24
664,24
600,40
600,56
600,72
600,88
600,104
616,104
632,104
648,104
664,104
664,120
664,136
664,152
680,152
696,152
712,152
728,152
744,152
760,152
776,152
792,152
808,152
824,152
840,152
856,152
856,136
872,152
888,152
904,152
920,152
920,168
936,168
952,168
968,168
984,168
984,312
968,312
952,312
936,312
920,312
984,248
968,248
952,248
888,312
888,296
888,280
888,264
872,264
872,248
856,248
856,232
856,216
856,200
856,184
840,216
824,216
808,216
792,216
776,216
760,216
744,216
744,232
744,248
744,264
744,280
744,296
744,312
728,312
728,328
728,344
728,360
728,376
728,392
728,408
728,424
728,440
728,456
744,456
760,456
760,472
760,488
760,504
776,504
792,504
808,504
824,504
840,504
856,504
856,520
872,520
888,520
904,520
776,520
776,536
776,552
776,568
776,584
776,600
760,600
760,616
760,632
760,648
760,664
760,680
232,424
232,408
232,392
232,376
248,376
248,360
248,344
248,328
248,312
248,296
248,280
248,264
248,248
264,248
280,248
296,248
312,248
328,248
328,232
328,216
344,216
360,216
376,216
392,216
408,216
424,216
440,216
456,216
456,232
456,248
456,264
456,280
456,296
456,312
456,328
440,328
424,328
408,328
392,328
376,328
360,328
344,328
328,328
328,344
328,360
328,376
328,392
328,408
328,424
344,424
360,424
376,424
392,424
408,424
424,424
440,424
456,424
456,440
456,456
456,472
456,488
456,504
472,504
488,504
504,504
520,504
536,504
552,504
568,504
584,504
600,504
616,504
632,504
632,488
632,472
632,456
648,456
664,456
680,456
696,456
392,280
472,264
488,264
504,264
520,264
536,264
536,248
536,232
536,216
552,216
568,216
584,216
600,216
616,216
632,216
648,216
664,216
664,200
712,376
696,376
680,376
664,376
648,376
632,376
616,376
600,376
584,376
568,376
568,392
568,408
568,424
552,424
552,440
552,456
552,472
376,664
376,680
376,696
376,712
376,728
392,728
408,728
424,728
440,728
456,728
472,728
488,728
504,728
520,728
536,728
552,728
552,744
568,744
584,744
600,744
440,504
424,504
408,504
408,520
392,520
376,520
360,520
344,520
328,520
312,520
312,536
312,552
312,568
312,584
312,600
312,616
584,616
584,600
584,584
600,584
616,584
632,584
648,584
664,584
680,584
696,584
696,600
712,600
744,392
760,392
776,392
792,392
808,392
824,392
840,392
856,392
872,392
888,392
888,376
888,360
888,344
408,632
408,616
408,600
408,584
408,568
424,568
440,568
456,568
472,568
488,568
488,584
504,584
520,584
536,584
