X,Y
24.0,24.0
40.0,24.0
56.0,24.0
72.0,24.0
88.0,24.0
104.0,24.0
120.0,24.0
136.0,24.0
152.0,24.0
168.0,24.0
184.0,24.0
200.0,24.0
216.0,24.0
232.0,24.0
248.0,24.0
264.0,24.0
280.0,24.0
296.0,24.0
312.0,24.0
328.0,24.0
344.0,24.0
360.0,24.0
376.0,24.0
392.0,24.0
408.0,24.0
424.0,24.0
408.0,40.0
408.0,56.0
408.0,72.0
408.0,88.0
424.0,88.0
440.0,88.0
456.0,88.0
472.0,88.0
488.0,88.0
488.0,72.0
488.0,56.0
488.0,40.0
488.0,24.0
504.0,24.0
472.0,24.0
520.0,24.0
536.0,24.0
552.0,24.0
568.0,24.0
584.0,24.0
600.0,24.0
616.0,24.0
632.0,24.0
648.0,24.0
664.0,24.0
680.0,24.0
696.0,24.0
712.0,24.0
728.0,24.0
744.0,24.0
760.0,24.0
776.0,24.0
792.0,24.0
808.0,24.0
824.0,24.0
840.0,24.0
856.0,24.0
872.0,24.0
888.0,24.0
904.0,24.0
920.0,24.0
936.0,24.0
952.0,24.0
968.0,24.0
984.0,24.0
1000.0,24.0
552.0,40.0
552.0,56.0
552.0,72.0
552.0,88.0
536.0,88.0
520.0,88.0
568.0,88.0
584.0,88.0
600.0,88.0
616.0,88.0
632.0,88.0
632.0,72.0
632.0,56.0
648.0,88.0
664.0,88.0
680.0,88.0
696.0,88.0
712.0,88.0
728.0,88.0
744.0,88.0
760.0,88.0
760.0,104.0
776.0,104.0
792.0,104.0
808.0,104.0
824.0,104.0
840.0,104.0
856.0,104.0
856.0,88.0
856.0,72.0
872.0,104.0
888.0,104.0
904.0,104.0
920.0,104.0
936.0,104.0
952.0,104.0
952.0,88.0
952.0,72.0
968.0,104.0
984.0,104.0
1000.0,104.0
984.0,120.0
984.0,136.0
984.0,152.0
984.0,168.0
1000.0,168.0
1000.0,184.0
1000.0,200.0
1000.0,216.0
1000.0,232.0
1000.0,248.0
1000.0,264.0
1000.0,280.0
984.0,280.0
984.0,296.0
984.0,312.0
984.0,328.0
984.0,344.0
984.0,360.0
984.0,376.0
984.0,392.0
984.0,408.0
1000.0,408.0
1000.0,424.0
1000.0,440.0
1000.0,456.0
1000.0,472.0
1000.0,488.0
1000.0,504.0
1000.0,536.0
1000.0,552.0
1000.0,568.0
1000.0,584.0
1000.0,600.0
1000.0,616.0
984.0,616.0
968.0,616.0
952.0,616.0
936.0,616.0
920.0,616.0
904.0,616.0
904.0,632.0
904.0,648.0
904.0,664.0
1000.0,632.0
1000.0,680.0
1000.0,696.0
1000.0,712.0
1000.0,728.0
1000.0,744.0
872.0,664.0
872.0,680.0
872.0,696.0
872.0,712.0
872.0,728.0
872.0,744.0
888.0,744.0
904.0,744.0
920.0,744.0
936.0,744.0
952.0,744.0
968.0,744.0
984.0,744.0
856.0,744.0
840.0,744.0
824.0,744.0
808.0,744.0
792.0,744.0
776.0,744.0
760.0,744.0
744.0,744.0
728.0,744.0
680.0,744.0
696.0,744.0
664.0,744.0
648.0,744.0
648.0,728.0
648.0,712.0
648.0,696.0
