X,Y
24,24
40,24
56,24
72,24
88,24
104,24
120,24
136,24
152,24
168,24
184,24
200,24
216,24
216,40
216,56
232,56
248,56
264,56
280,56
296,56
312,56
328,56
344,56
344,72
344,88
360,88
376,88
392,88
408,88
408,72
408,56
408,40
408,24
424,24
440,24
456,24
472,24
488,24
504,24
520,24
536,24
552,24
568,24
584,24
600,24
616,24
632,24
648,24
648,40
648,56
664,56
680,56
696,56
712,56
728,56
744,56
760,56
776,56
792,56
808,56
808,40
824,40
824,24
840,24
856,24
872,24
888,24
904,24
920,24
936,24
952,24
952,40
952,56
968,56
984,56
1000,56
1000,72
1000,88
1000,104
1000,120
1000,136
1000,152
1000,168
1000,184
1000,200
1000,216
1000,232
1000,248
984,248
984,264
984,280
984,296
984,312
984,328
984,344
984,360
1000,360
1000,376
1000,392
1000,408
1000,424
1000,440
1000,456
1000,472
1000,488
1000,504
1000,520
1000,536
1000,552
1000,568
1000,584
984,584
968,584
952,584
952,600
952,616
952,632
952,648
968,648
984,648
1000,648
1000,664
1000,680
1000,696
1000,712
1000,728
1000,744
984,744
968,744
952,744
936,744
920,744
904,744
888,744
872,744
856,744
840,744
840,728
840,712
824,712
808,712
792,712
776,712
760,712
744,712
728,712
712,712
712,728
712,744
696,744
680,744
664,744
648,744
632,744
616,744
600,744
584,744
568,744
552,744
536,744
520,744
520,728
520,712
504,712
488,712
472,712
456,712
440,712
424,712
408,712
392,712
376,712
376,728
376,744
360,744
344,744
328,744
312,744
296,744
280,744
264,744
264,728
248,728
232,728
216,728
200,728
184,728
184,712
168,712
152,712
136,712
120,712
120,728
120,744
104,744
88,744
72,744
56,744
56,728
56,712
40,712
24,712
24,696
24,680
24,664
24,648
24,632
40,632
56,632
56,616
56,600
56,584
56,568
40,568
24,568
24,552
24,536
24,520
24,504
24,488
40,488
40,472
40,456
40,440
40,424
40,408
40,392
40,376
40,360
40,344
40,328
40,312
40,296
40,280
24,280
24,264
24,248
24,232
24,216
24,200
24,184
24,168
24,152
40,152
56,152
56,136
56,120
56,104
56,88
40,88
24,88
24,72
24,56
440,680
440,664
440,632
440,616
456,616
472,616
488,616
504,616
520,616
536,616
552,616
568,616
584,616
600,616
616,616
616,632
616,648
616,664
616,680
616,696
616,712
728,72
232,72
56,312
984,136
